time_key,date_actual,hour_actual,day_name,month_name,quarter,year,is_holiday,shift_name
2024010100,2024-01-01,0,Monday,January,1,2024,0,Night
2024010101,2024-01-01,1,Monday,January,1,2024,1,Night
2024010102,2024-01-01,2,Monday,January,1,2024,0,Night
2024010103,2024-01-01,3,Monday,January,1,2024,0,Night
2024010104,2024-01-01,4,Monday,January,1,2024,0,Night
2024010105,2024-01-01,5,Monday,January,1,2024,0,Night
2024010106,2024-01-01,6,Monday,January,1,2024,0,Night
2024010107,2024-01-01,7,Monday,January,1,2024,0,Night
2024010108,2024-01-01,8,Monday,January,1,2024,0,Morning
2024010109,2024-01-01,9,Monday,January,1,2024,0,Morning
2024010110,2024-01-01,10,Monday,January,1,2024,0,Morning
2024010111,2024-01-01,11,Monday,January,1,2024,1,Morning
2024010112,2024-01-01,12,Monday,January,1,2024,0,Morning
2024010113,2024-01-01,13,Monday,January,1,2024,0,Morning
2024010114,2024-01-01,14,Monday,January,1,2024,0,Morning
2024010115,2024-01-01,15,Monday,January,1,2024,0,Morning
2024010116,2024-01-01,16,Monday,January,1,2024,0,Day
2024010117,2024-01-01,17,Monday,January,1,2024,0,Day
2024010118,2024-01-01,18,Monday,January,1,2024,0,Day
2024010119,2024-01-01,19,Monday,January,1,2024,0,Day
2024010120,2024-01-01,20,Monday,January,1,2024,0,Day
2024010121,2024-01-01,21,Monday,January,1,2024,0,Day
2024010122,2024-01-01,22,Monday,January,1,2024,0,Day
2024010123,2024-01-01,23,Monday,January,1,2024,0,Day
2024010200,2024-01-02,0,Tuesday,January,1,2024,0,Night
2024010201,2024-01-02,1,Tuesday,January,1,2024,0,Night
2024010202,2024-01-02,2,Tuesday,January,1,2024,0,Night
2024010203,2024-01-02,3,Tuesday,January,1,2024,0,Night
2024010204,2024-01-02,4,Tuesday,January,1,2024,0,Night
2024010205,2024-01-02,5,Tuesday,January,1,2024,0,Night
2024010206,2024-01-02,6,Tuesday,January,1,2024,0,Night
2024010207,2024-01-02,7,Tuesday,January,1,2024,0,Night
2024010208,2024-01-02,8,Tuesday,January,1,2024,0,Morning
2024010209,2024-01-02,9,Tuesday,January,1,2024,0,Morning
2024010210,2024-01-02,10,Tuesday,January,1,2024,1,Morning
2024010211,2024-01-02,11,Tuesday,January,1,2024,0,Morning
2024010212,2024-01-02,12,Tuesday,January,1,2024,0,Morning
2024010213,2024-01-02,13,Tuesday,January,1,2024,0,Morning
2024010214,2024-01-02,14,Tuesday,January,1,2024,0,Morning
2024010215,2024-01-02,15,Tuesday,January,1,2024,0,Morning
2024010216,2024-01-02,16,Tuesday,January,1,2024,0,Day
2024010217,2024-01-02,17,Tuesday,January,1,2024,0,Day
2024010218,2024-01-02,18,Tuesday,January,1,2024,0,Day
2024010219,2024-01-02,19,Tuesday,January,1,2024,0,Day
2024010220,2024-01-02,20,Tuesday,January,1,2024,0,Day
2024010221,2024-01-02,21,Tuesday,January,1,2024,0,Day
2024010222,2024-01-02,22,Tuesday,January,1,2024,0,Day
2024010223,2024-01-02,23,Tuesday,January,1,2024,0,Day
2024010300,2024-01-03,0,Wednesday,January,1,2024,0,Night
2024010301,2024-01-03,1,Wednesday,January,1,2024,0,Night
2024010302,2024-01-03,2,Wednesday,January,1,2024,1,Night
2024010303,2024-01-03,3,Wednesday,January,1,2024,0,Night
2024010304,2024-01-03,4,Wednesday,January,1,2024,0,Night
2024010305,2024-01-03,5,Wednesday,January,1,2024,0,Night
2024010306,2024-01-03,6,Wednesday,January,1,2024,0,Night
2024010307,2024-01-03,7,Wednesday,January,1,2024,0,Night
2024010308,2024-01-03,8,Wednesday,January,1,2024,0,Morning
2024010309,2024-01-03,9,Wednesday,January,1,2024,0,Morning
2024010310,2024-01-03,10,Wednesday,January,1,2024,0,Morning
2024010311,2024-01-03,11,Wednesday,January,1,2024,0,Morning
2024010312,2024-01-03,12,Wednesday,January,1,2024,0,Morning
2024010313,2024-01-03,13,Wednesday,January,1,2024,0,Morning
2024010314,2024-01-03,14,Wednesday,January,1,2024,0,Morning
2024010315,2024-01-03,15,Wednesday,January,1,2024,0,Morning
2024010316,2024-01-03,16,Wednesday,January,1,2024,0,Day
2024010317,2024-01-03,17,Wednesday,January,1,2024,0,Day
2024010318,2024-01-03,18,Wednesday,January,1,2024,0,Day
2024010319,2024-01-03,19,Wednesday,January,1,2024,0,Day
2024010320,2024-01-03,20,Wednesday,January,1,2024,0,Day
2024010321,2024-01-03,21,Wednesday,January,1,2024,1,Day
2024010322,2024-01-03,22,Wednesday,January,1,2024,0,Day
2024010323,2024-01-03,23,Wednesday,January,1,2024,0,Day
2024010400,2024-01-04,0,Thursday,January,1,2024,0,Night
2024010401,2024-01-04,1,Thursday,January,1,2024,0,Night
2024010402,2024-01-04,2,Thursday,January,1,2024,0,Night
2024010403,2024-01-04,3,Thursday,January,1,2024,0,Night
2024010404,2024-01-04,4,Thursday,January,1,2024,0,Night
2024010405,2024-01-04,5,Thursday,January,1,2024,0,Night
